Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description
striped-silk-blouse,Striped Silk Blouse,"<p>Ultra-stylish black and red striped silk blouse with buckle collar. Features matching button details and is perfect for professional settings and evening events.</p>",Veyra Clothing,Blouses,"women, silk, professional, evening, striped",TRUE,Color,Black-Red,Size,L,VEY_SB_003,8,50.00,65.00,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,3,Black-Red Striped Blouse - Large,Striped Silk Blouse | Veyra Clothing,Ultra-stylish silk blouses perfect for professional and evening wear
classic-leather-jacket,Classic Leather Jacket,"<p>Premium leather jacket with adjustable belt for comfortable fit. Features shoulder pads and front zip pocket. Timeless design that never goes out of style.</p>",Veyra Clothing,Jackets,"women, leather, classic, adjustable, timeless",TRUE,Color,Black,Size,S,VEY_LJ_001,8,80.00,120.00,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,1,Black Leather Jacket - Small,Classic Leather Jacket | Veyra Clothing,Premium leather jackets with adjustable fit and timeless design
classic-leather-jacket,Classic Leather Jacket,"<p>Premium leather jacket with adjustable belt for comfortable fit. Features shoulder pads and front zip pocket. Timeless design that never goes out of style.</p>",Veyra Clothing,Jackets,"women, leather, classic, adjustable, timeless",TRUE,Color,Black,Size,M,VEY_LJ_002,6,80.00,120.00,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,2,Black Leather Jacket - Medium,Classic Leather Jacket | Veyra Clothing,Premium leather jackets with adjustable fit and timeless design
classic-leather-jacket,Classic Leather Jacket,"<p>Premium leather jacket with adjustable belt for comfortable fit. Features shoulder pads and front zip pocket. Timeless design that never goes out of style.</p>",Veyra Clothing,Jackets,"women, leather, classic, adjustable, timeless",TRUE,Color,Black,Size,L,VEY_LJ_003,4,80.00,120.00,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,3,Black Leather Jacket - Large,Classic Leather Jacket | Veyra Clothing,Premium leather jackets with adjustable fit and timeless design
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect. Perfect for casual everyday wear with a touch of edge.</p>",Veyra Clothing,Tops,"women, denim, casual, everyday, ripped",TRUE,Color,Indigo,Size,S,VEY_DT_001,18,65.00,80.00,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,1,Indigo Denim Top - Small,Dark Denim Top | Veyra Clothing,Classic denim tops with ripped hem details
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect. Perfect for casual everyday wear with a touch of edge.</p>",Veyra Clothing,Tops,"women, denim, casual, everyday, ripped",TRUE,Color,Indigo,Size,M,VEY_DT_002,15,65.00,80.00,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,2,Indigo Denim Top - Medium,Dark Denim Top | Veyra Clothing,Classic denim tops with ripped hem details
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect. Perfect for casual everyday wear with a touch of edge.</p>",Veyra Clothing,Tops,"women, denim, casual, everyday, ripped",TRUE,Color,Indigo,Size,L,VEY_DT_003,12,65.00,80.00,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,3,Indigo Denim Top - Large,Dark Denim Top | Veyra Clothing,Classic denim tops with ripped hem details
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",Veyra Clothing,Jackets,"men, sport, waterproof, outdoor, mesh",TRUE,Color,Navy,Size,S,VEY_SJ_001,14,70.00,85.00,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,1,Navy Sports Jacket - Small,Navy Sports Jacket | Veyra Clothing,Waterproof sports jackets perfect for outdoor activities
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",Veyra Clothing,Jackets,"men, sport, waterproof, outdoor, mesh",TRUE,Color,Navy,Size,M,VEY_SJ_002,12,70.00,85.00,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,2,Navy Sports Jacket - Medium,Navy Sports Jacket | Veyra Clothing,Waterproof sports jackets perfect for outdoor activities
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",Veyra Clothing,Jackets,"men, sport, waterproof, outdoor, mesh",TRUE,Color,Navy,Size,L,VEY_SJ_003,10,70.00,85.00,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,3,Navy Sports Jacket - Large,Navy Sports Jacket | Veyra Clothing,Waterproof sports jackets perfect for outdoor activities
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",Veyra Clothing,Jackets,"men, sport, waterproof, outdoor, mesh",TRUE,Color,Navy,Size,XL,VEY_SJ_004,8,70.00,85.00,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,4,Navy Sports Jacket - XL,Navy Sports Jacket | Veyra Clothing,Waterproof sports jackets perfect for outdoor activities
dark-winter-jacket,Soft Winter Jacket,"<p>Thick black winter jacket with soft fleece lining. Perfect for those cold weather days. Features a warm hood and multiple pockets for storage.</p>",Veyra Clothing,Jackets,"women, winter, warm, fleece, hooded",TRUE,Color,Black,Size,S,VEY_WJ_001,16,90.00,110.00,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,1,Black Winter Jacket - Small,Soft Winter Jacket | Veyra Clothing,Warm winter jackets with fleece lining
dark-winter-jacket,Soft Winter Jacket,"<p>Thick black winter jacket with soft fleece lining. Perfect for those cold weather days. Features a warm hood and multiple pockets for storage.</p>",Veyra Clothing,Jackets,"women, winter, warm, fleece, hooded",TRUE,Color,Black,Size,M,VEY_WJ_002,14,90.00,110.00,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,2,Black Winter Jacket - Medium,Soft Winter Jacket | Veyra Clothing,Warm winter jackets with fleece lining
dark-winter-jacket,Soft Winter Jacket,"<p>Thick black winter jacket with soft fleece lining. Perfect for those cold weather days. Features a warm hood and multiple pockets for storage.</p>",Veyra Clothing,Jackets,"women, winter, warm, fleece, hooded",TRUE,Color,Black,Size,L,VEY_WJ_003,12,90.00,110.00,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,3,Black Winter Jacket - Large,Soft Winter Jacket | Veyra Clothing,Warm winter jackets with fleece lining
black-leather-bag,Black Leather Bag,"<p>Women's black leather bag with ample space. Can be worn over the shoulder, or remove straps to carry in your hand. Features multiple compartments and premium leather construction.</p>",Veyra Clothing,Bags,"women, leather, premium, spacious, versatile",TRUE,Color,Black,Size,One Size,VEY_LB_001,22,120.00,150.00,https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,1,Black Leather Bag,Black Leather Bag | Veyra Clothing,Premium leather bags with versatile carrying options
